PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
004kB,4rr1k/pQpn2pp/3p1q2/8/8/2P5/PP3PPP/RN3RK1 w - - 1 16,b7c7 f6f2 f1f2 e8e1 f2f1 e1f1,1209,76,60,195,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/Cl9T6bjt#31,Ruy_Lopez Ruy_Lopez_Steinitz_Defense
004mT,5Q2/8/1b1kp1p1/5p2/3p4/5qPK/7P/8 b - - 1 51,d6c6 f8a8 c6d6 a8f3,1374,74,98,8814,advantage endgame short skewer,https://lichess.org/Jqhi4ozb/black#102,
004u0,6k1/ppq3pp/2p1rp2/4r3/4p1Q1/P5RP/1P3PP1/3R2K1 b - - 3 34,e6e8 d1d7 c7d7 g4d7,1326,77,91,1033,advantage endgame short,https://lichess.org/3gEqoQeQ/black#68,
005Bm,4rk2/p1q5/1p3Q1b/8/1p5N/2P1p3/P3P3/2K5 b - - 0 43,c7f7 h4g6 f8g8 f6h8,1260,75,96,5764,endgame mate mateIn2 pin short,https://lichess.org/KKslCMev/black#86,
005jJ,r1b1qrk1/pp1n1pbp/2pp1np1/4p3/2PP1B2/2NBPN1P/PP3PP1/R2Q1RK1 w - - 0 10,d4e5 d6e5 f4h2 e5e4,1215,82,70,37,advantage opening short,https://lichess.org/wt6Q2xGb#19,Queens_Pawn_Game Queens_Pawn_Game_Other_variations
005wJ,r3kb1r/ppqn1ppp/4pn2/1Q2Nb2/3P4/8/PP2PPPP/RNB1KB1R w KQkq - 4 9,e5d7 c7c1,1371,78,80,1230,hangingPiece mate mateIn1 oneMove opening,https://lichess.org/2mU9GJhQ#17,Queens_Pawn_Game Queens_Pawn_Game_Zukertort_Variation
006cZ,3r1rk1/1p4p1/p1p3Qp/2q5/8/3n1N1P/PP1R2P1/5R1K b - - 7 28,g8h8 d2d3 d8d3 g6d3,1376,75,88,650,advantage master masterVsMaster middlegame short,https://lichess.org/qrbDEp56/black#56,
007OE,8/pkp5/2p1p3/3p4/N2q4/1n4Q1/PPP3Pr/K2R4 w - - 2 29,a2b3 d4d1 a1a2 h2h1 a4c5 b7b6,1284,76,54,167,advantage endgame hangingPiece long quietMove,https://lichess.org/1c7uOUzp#57,
007eS,6k1/p4p2/1p5p/4r3/P3B3/1P3P2/2PK2PP/8 w - - 0 29,d2e3 f7f5 g2g4 f5e4,1229,75,95,13466,advantage endgame short,https://lichess.org/8qs8bafy#57,
009FP,r1b1k1nr/ppp2pbp/3ppqp1/8/2BnP3/N2P2QP/PPP2PP1/R1B1K2R b KQkq - 4 9,e6e5 c1g5 f6g5 g3g5,1357,74,97,3139,advantage opening short trappedPiece,https://lichess.org/2ndCtdd9/black#18,Pirc_Defense Pirc_Defense_Other_variations
009J1,rn2k2r/pp2bp1p/2p1pNp1/6B1/5P2/7P/PPP4P/2K1RR2 b - - 3 17,e8f8 g5h6,1208,75,98,716,mate mateIn1 middlegame oneMove,https://lichess.org/lPhlt9XF/black#34,Pirc_Defense Pirc_Defense_Byrne_Variation
0000D,5rk1/1p3ppp/pq3b2/8/8/1P1Q1N2/P4PPP/3R2K1 w - - 2 27,d3d6 f8d8 d6d8 f6d8,1579,73,96,36672,advantage endgame short,https://lichess.org/F8M8OS71#53,
000Pw,6k1/5p1p/4p3/4q3/3nN3/2Q3P1/PP3P1P/6K1 w - - 2 37,e4d2 d4e2 g1f1 e2c3,1550,75,92,626,crushing endgame fork short,https://lichess.org/au2lCK5o#73,
000Sa,2Q2bk1/5p1p/p5p1/2p3P1/2r1B3/7P/qPQ2P2/2K4R b - - 0 32,c4c2 e4c2 a2a1 c2b1,1558,76,97,1610,advantage endgame short,https://lichess.org/lTTa9lwd/black#64,
000Vc,8/8/4k1p1/2KpP2p/5PP1/8/8/8 w - - 0 53,g4h5 g6h5 f4f5 e6e5 f5f6 e5f6,1574,78,75,113,crushing endgame long pawnEndgame,https://lichess.org/l6AejDMO#105,
000aY,r4rk1/pp3ppp/2n1b3/q1pp2B1/8/P1Q2NP1/1PP1PP1P/2KR3R w - - 0 15,g5e7 a5c3 b2c3 c6e7,1414,78,75,527,advantage master middlegame short,https://lichess.org/iihZGl6t#29,Benoni_Defense Benoni_Defense_Benoni-Indian_Defense
000hf,r1bqk2r/pp1nbNp1/2p1p2p/8/2BP4/1PN3P1/P3QP1P/3R1RK1 b kq - 0 19,e8f7 e2e6 f7f8 e6f7,1582,77,92,731,mate mateIn2 middlegame short,https://lichess.org/71ygsFeE/black#38,Horwitz_Defense Horwitz_Defense_Other_variations
001Fg,2R2r1k/pQ4pp/5rp1/3B4/q2n4/7P/P4PP1/5RK1 w - - 3 30,c8c7 d4e2 g1h2 a4f4 h2h1 e2g3 f2g3 f4f1,1434,74,96,2639,advantage middlegame veryLong,https://lichess.org/y0QalMAw#59,
001m3,7r/6k1/2b1pp2/8/P1N3p1/5nP1/4RP2/Q4K2 w - - 2 38,e2e6 h8h1 f1e2 h1a1,1459,76,87,279,advantage endgame short skewer,https://lichess.org/LELOz22f#75,
